,title,fromUserId,categoryId,created_dates,updated_dates,resourceId
0,test ayush,5fdf6bbcfe08e8c0191a7805,602cb70978d3fda29f330606,2021-03-15,2021-05-18,604f88c020b77e6e8be1d6db
1,ayush 1,605dd8c826e482412f150f3e,602cba5378d3fda29f33060c,2021-03-26,2021-05-18,605dd9b626e482412f150f41
2,test revies 01,605dd79026e482412f150f3c,602cba5378d3fda29f33060c,2021-03-26,2021-05-18,605ddadc26e482412f150f4c
3,test 02,605dd79026e482412f150f3c,602cba5378d3fda29f33060c,2021-03-26,2021-05-18,605ddb2426e482412f150f4e
4,test 02,605dd79026e482412f150f3c,602cba5378d3fda29f33060c,2021-03-26,2021-05-18,605ddb2426e482412f150f4e
5,keyboard,605dd78626e482412f150f3b,602cba5378d3fda29f33060c,2021-03-26,2021-05-18,605ddb6826e482412f150f50
6,,606df0ff039366aed09ab908,602cba3778d3fda29f33060b,2021-04-10,2021-05-18,6071950a4d653b3c6d5878de
7,ayush tetsing ,605dd8c826e482412f150f3e,602cb70978d3fda29f330606,2021-04-28,2021-05-18,6089a946c975758dfbe70743
8,ayush tetsing ,605dd8c826e482412f150f3e,602cb70978d3fda29f330606,2021-04-28,2021-05-18,6089a946c975758dfbe70743
9,ayush tetsing ,605dd8c826e482412f150f3e,602cb70978d3fda29f330606,2021-04-28,2021-05-18,6089a946c975758dfbe70743
10,ayush tetsing ,605dd8c826e482412f150f3e,602cb70978d3fda29f330606,2021-04-28,2021-05-18,6089a946c975758dfbe70743
11,fan,606df0ff039366aed09ab908,602cba6178d3fda29f33060d,2021-05-01,2021-05-18,608d2a086bfae3254d3bc20a
12,ipl india on smart tv,608c3be9d0bfd022ac3651c3,602cba5378d3fda29f33060c,2021-05-01,2021-05-18,608d95b8b8ad4a523c6b1eb6
13,ipl india on smart tv,608c3be9d0bfd022ac3651c3,602cba5378d3fda29f33060c,2021-05-01,2021-05-18,608d95b8b8ad4a523c6b1eb6
14,testing with team,606df0ff039366aed09ab908,602cba6178d3fda29f33060d,2021-05-03,2021-05-18,608faba9b8ad4a523c6b1f4c
15,1620048806788,606df0ff039366aed09ab908,602cb70978d3fda29f330606,2021-05-03,2021-05-13,608ffba6b8ad4a523c6b1f8e
16,1620048806788,606df0ff039366aed09ab908,602cb70978d3fda29f330606,2021-05-03,2021-05-13,608ffba6b8ad4a523c6b1f8e
17,1620048806788,606df0ff039366aed09ab908,602cb70978d3fda29f330606,2021-05-03,2021-05-13,608ffba6b8ad4a523c6b1f8e
18,rishi testing,5fdf6bbcfe08e8c0191a7805,602cb70978d3fda29f330606,2021-05-11,2021-05-13,609ad64295cabe26d0e26fd1
19,rishi testing,5fdf6bbcfe08e8c0191a7805,602cb70978d3fda29f330606,2021-05-11,2021-05-13,609ad64295cabe26d0e26fd1
20,test,608f85f2b8ad4a523c6b1eeb,602cb70978d3fda29f330606,2021-05-19,2021-05-19,60a524226e169bdb055522ca
21,test,608f85f2b8ad4a523c6b1eeb,602cb70978d3fda29f330606,2021-05-19,2021-05-19,60a524226e169bdb055522ca
22,hp laptop,605dd8c826e482412f150f3e,602cba5378d3fda29f33060c,2021-05-19,2021-05-19,60a52587c51bcddeec79523e
23,seven nine india,60a53deedbb876e704a85279,602cb70978d3fda29f330606,2021-05-19,2021-05-19,60a53e1ddbb876e704a8527d
24,laptop test,608f85f2b8ad4a523c6b1eeb,602cb70978d3fda29f330606,2021-05-19,2021-05-19,60a543acdbb876e704a852c1
25,slack app,605dd8c826e482412f150f3e,602cbaca78d3fda29f330612,2021-05-19,2021-05-19,60a553a775c486f4974077d3
26,hp,605dd5b126e482412f150f3a,602cba5378d3fda29f33060c,2021-05-19,2021-05-19,60a55a1475c486f49740782c
27,black video,608f85f2b8ad4a523c6b1eeb,602cb70978d3fda29f330606,2021-05-20,2021-05-21,60a6474074768844a27877de
28,voltas ac,605dd8c826e482412f150f3e,602cba5378d3fda29f33060c,2021-05-20,2021-05-20,60a65d63e4fd3b5606ba1f4b
29,voltas ac,605dd8c826e482412f150f3e,602cba5378d3fda29f33060c,2021-05-20,2021-05-20,60a65d63e4fd3b5606ba1f4b
30,voltas ac,605dd8c826e482412f150f3e,602cba5378d3fda29f33060c,2021-05-20,2021-05-20,60a65d63e4fd3b5606ba1f4b
31,voltas ac,605dd8c826e482412f150f3e,602cba5378d3fda29f33060c,2021-05-20,2021-05-20,60a65d63e4fd3b5606ba1f4b
32,ðŸ˜ƒðŸ˜ƒðŸ˜ƒ,606df0ff039366aed09ab908,602cba3778d3fda29f33060b,2021-05-22,2021-05-22,60a91b9da60a8b1ccc9a3d81
